City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Calama,CL,66.69,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
152,Dunedin,NZ,54.57,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
153,Soyo,AO,75.74,few clouds,-6.1349,12.3689,Hotel Mpampa
154,Luanda,AO,75.2,few clouds,-8.8368,13.2343,Hotel Fórum
155,Portland,US,68.32,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
156,Chuy,UY,53.33,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
158,Omama,JP,68.83,overcast clouds,36.4333,139.2833,Kiryu Grand Hotel
159,Geraldton,AU,65.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
161,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
164,Constitucion,CL,51.37,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
167,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
168,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
169,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
170,Carballo,ES,58.91,overcast clouds,43.213,-8.691,Pazo do Souto
172,Lahat,ID,72.19,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
174,Constantine,DZ,51.21,clear sky,36.365,6.6147,Grand Hotel Cirta
176,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
178,Saint Paul,US,51.8,overcast clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
180,Necochea,AR,51.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
185,Meulaboh,ID,77.38,overcast clouds,4.1363,96.1285,Kost Pria
187,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
190,Cochrane,CA,59.43,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
195,Jiaozuo,CN,55.08,light rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
198,Baripada,IN,77.68,overcast clouds,21.935,86.7214,Aparna Hotel
199,Port Hardy,CA,53.78,broken clouds,50.6996,-127.4199,Airport Inn
202,Kaniama,CD,67.8,overcast clouds,-7.5667,24.1833,
203,Saint Anthony,US,51.15,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
204,Dingle,PH,77.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
205,Jilib,SO,74.79,overcast clouds,0.4883,42.7854,
208,Haguenau,FR,52.11,scattered clouds,48.8156,7.7905,KYRIAD DIRECT HAGUENAU
209,Catamarca,AR,65.77,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
210,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
215,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
217,Kanker,IN,71.96,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
218,Mahon,ES,64.96,few clouds,39.8885,4.2658,ARTIEM Capri
220,Tura,IN,76.55,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
222,Kabalo,CD,69.78,light rain,-6.05,26.9167,
225,Nizwa,OM,77.68,clear sky,22.9333,57.5333,Orient Apartments
227,Chingirlau,KZ,50.04,light rain,51.095,54.0814,
228,Nahavand,IR,60.66,scattered clouds,34.1885,48.377,فربد سلگی
229,Wanning,CN,76.26,light rain,18.8003,110.3967,Paradise Hotel
231,Vangaindrano,MG,70.12,scattered clouds,-23.35,47.6,Hotel Fanilo
232,Den Helder,NL,53.58,few clouds,52.9599,4.7593,Hotel Den Helder
233,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
235,Saldanha,ZA,53.65,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
240,Hasaki,JP,66.6,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
241,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
242,Souillac,MU,70.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,Inhambane,MZ,75.94,broken clouds,-23.865,35.3833,Oceano
246,Karratha,AU,73.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
248,Lakes Entrance,AU,56.57,light rain,-37.8811,147.981,The Esplanade Resort & Spa
251,Mutare,ZW,61.41,clear sky,-18.9707,32.6709,Ann Bruce Backpackers
253,Chihuahua,MX,76.03,clear sky,28.5,-106.0,
255,Jalu,LY,66.36,clear sky,29.0331,21.5482,صاحبة الفخامة
258,Kruisfontein,ZA,58.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
259,Paramonga,PE,63.9,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
260,Port Hedland,AU,69.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
261,Correggio,IT,50.95,broken clouds,44.7698,10.7823,Hotel President
264,Chibombo,ZM,71.51,scattered clouds,-14.6569,28.0706,Chibombo District Council Guest House
267,Ostuncalco,GT,68.94,scattered clouds,14.8667,-91.6167,Hotel Imperio Inn
269,Kharan,PK,64.6,clear sky,28.5833,65.4167,Dil Aram Bangla
270,Tanda,IN,76.3,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
271,Sawtell,AU,66.52,clear sky,-30.3833,153.1,Island Beach House Sawtell
272,Soe,ID,76.84,overcast clouds,-9.8607,124.284,Dena Hotel
273,Grand Island,US,57.49,few clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
275,Dawei,MM,74.71,overcast clouds,14.0833,98.2,Hotel Dawei
277,Bontang,ID,78.66,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
279,Sechura,PE,70.65,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
281,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
283,Te Anau,NZ,54.43,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
286,Otradnoye,RU,50.04,light rain,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
289,Harper,LR,78.62,overcast clouds,4.375,-7.7169,Screensaver
290,Westport,US,74.28,clear sky,41.1415,-73.3579,The Westport Inn
